FinishTime,ArrivalTime,ServiceTime,ID
1.5,0.5,1,0
2.5,1,1,1
3.5,1.5,1,2
4.5,2,1,3
5.5,2.5,1,4
6.5,3,1,5
7.5,3.5,1,6
8.5,4,1,7
9.5,4.5,1,8
10.5,5,1,9
11.5,5.5,1,10
12.5,6,1,11
13.5,6.5,1,12
14.5,7,1,13
15.5,7.5,1,14
16.5,8,1,15
17.5,8.5,1,16
18.5,9,1,17
19.5,9.5,1,18
20.5,10,1,19
21.5,10.5,1,20
22.5,11,1,21
23.5,11.5,1,22
24.5,12,1,23
25.5,12.5,1,24
26.5,13,1,25
27.5,13.5,1,26
28.5,14,1,27
29.5,14.5,1,28
30.5,15,1,29
31.5,15.5,1,30
32.5,16,1,31
33.5,16.5,1,32
34.5,17,1,33
35.5,17.5,1,34
36.5,18,1,35
37.5,18.5,1,36
38.5,19,1,37
39.5,19.5,1,38
40.5,20,1,39
41.5,20.5,1,40
42.5,21,1,41
43.5,21.5,1,42
44.5,22,1,43
45.5,22.5,1,44
46.5,23,1,45
47.5,23.5,1,46
48.5,24,1,47
49.5,24.5,1,48
50.5,25,1,49
51.5,25.5,1,50
52.5,26,1,51
53.5,26.5,1,52
54.5,27,1,53
55.5,27.5,1,54
56.5,28,1,55
57.5,28.5,1,56
58.5,29,1,57
59.5,29.5,1,58
60.5,30,1,59
61.5,30.5,1,60
62.5,31,1,61
63.5,31.5,1,62
64.5,32,1,63
65.5,32.5,1,64
66.5,33,1,65
67.5,33.5,1,66
68.5,34,1,67
69.5,34.5,1,68
70.5,35,1,69
71.5,35.5,1,70
72.5,36,1,71
73.5,36.5,1,72
74.5,37,1,73
75.5,37.5,1,74
76.5,38,1,75
77.5,38.5,1,76
78.5,39,1,77
79.5,39.5,1,78
80.5,40,1,79
81.5,40.5,1,80
82.5,41,1,81
83.5,41.5,1,82
84.5,42,1,83
85.5,42.5,1,84
86.5,43,1,85
87.5,43.5,1,86
88.5,44,1,87
89.5,44.5,1,88
90.5,45,1,89
91.5,45.5,1,90
92.5,46,1,91
93.5,46.5,1,92
94.5,47,1,93
95.5,47.5,1,94
96.5,48,1,95
97.5,48.5,1,96
98.5,49,1,97
99.5,49.5,1,98
100.5,50,1,99
101.5,50.5,1,100
102.5,51,1,101
103.5,51.5,1,102
104.5,52,1,103
105.5,52.5,1,104
106.5,53,1,105
107.5,53.5,1,106
108.5,54,1,107
109.5,54.5,1,108
110.5,55,1,109
111.5,55.5,1,110
112.5,56,1,111
113.5,56.5,1,112
114.5,57,1,113
115.5,57.5,1,114
116.5,58,1,115
117.5,58.5,1,116
118.5,59,1,117
119.5,59.5,1,118
120.5,60,1,119
121.5,60.5,1,120
122.5,61,1,121
123.5,61.5,1,122
124.5,62,1,123
125.5,62.5,1,124
126.5,63,1,125
127.5,63.5,1,126
128.5,64,1,127
129.5,64.5,1,128
130.5,65,1,129
131.5,65.5,1,130
132.5,66,1,131
133.5,66.5,1,132
134.5,67,1,133
135.5,67.5,1,134
136.5,68,1,135
137.5,68.5,1,136
138.5,69,1,137
139.5,69.5,1,138
140.5,70,1,139
141.5,70.5,1,140
142.5,71,1,141
143.5,71.5,1,142
144.5,72,1,143
145.5,72.5,1,144
146.5,73,1,145
147.5,73.5,1,146
148.5,74,1,147
149.5,74.5,1,148
150.5,75,1,149
151.5,75.5,1,150
152.5,76,1,151
153.5,76.5,1,152
154.5,77,1,153
155.5,77.5,1,154
156.5,78,1,155
157.5,78.5,1,156
158.5,79,1,157
159.5,79.5,1,158
160.5,80,1,159
161.5,80.5,1,160
162.5,81,1,161
163.5,81.5,1,162
164.5,82,1,163
165.5,82.5,1,164
166.5,83,1,165
167.5,83.5,1,166
168.5,84,1,167
169.5,84.5,1,168
170.5,85,1,169
171.5,85.5,1,170
172.5,86,1,171
173.5,86.5,1,172
174.5,87,1,173
175.5,87.5,1,174
176.5,88,1,175
177.5,88.5,1,176
178.5,89,1,177
179.5,89.5,1,178
180.5,90,1,179
181.5,90.5,1,180
182.5,91,1,181
183.5,91.5,1,182
184.5,92,1,183
185.5,92.5,1,184
186.5,93,1,185
187.5,93.5,1,186
188.5,94,1,187
189.5,94.5,1,188
190.5,95,1,189
191.5,95.5,1,190
192.5,96,1,191
193.5,96.5,1,192
194.5,97,1,193
195.5,97.5,1,194
196.5,98,1,195
197.5,98.5,1,196
198.5,99,1,197
199.5,99.5,1,198
200.5,100,1,199
201.5,100.5,1,200
202.5,101,1,201
203.5,101.5,1,202
204.5,102,1,203
205.5,102.5,1,204
206.5,103,1,205
207.5,103.5,1,206
208.5,104,1,207
209.5,104.5,1,208
210.5,105,1,209
211.5,105.5,1,210
212.5,106,1,211
213.5,106.5,1,212
214.5,107,1,213
215.5,107.5,1,214
216.5,108,1,215
217.5,108.5,1,216
218.5,109,1,217
219.5,109.5,1,218
220.5,110,1,219
221.5,110.5,1,220
222.5,111,1,221
223.5,111.5,1,222
224.5,112,1,223
225.5,112.5,1,224
226.5,113,1,225
227.5,113.5,1,226
228.5,114,1,227
229.5,114.5,1,228
230.5,115,1,229
231.5,115.5,1,230
232.5,116,1,231
233.5,116.5,1,232
234.5,117,1,233
235.5,117.5,1,234
236.5,118,1,235
237.5,118.5,1,236
238.5,119,1,237
239.5,119.5,1,238
240.5,120,1,239
241.5,120.5,1,240
242.5,121,1,241
243.5,121.5,1,242
244.5,122,1,243
245.5,122.5,1,244
246.5,123,1,245
247.5,123.5,1,246
248.5,124,1,247
249.5,124.5,1,248
250.5,125,1,249
251.5,125.5,1,250
252.5,126,1,251
253.5,126.5,1,252
254.5,127,1,253
255.5,127.5,1,254
256.5,128,1,255
257.5,128.5,1,256
258.5,129,1,257
259.5,129.5,1,258
260.5,130,1,259
261.5,130.5,1,260
262.5,131,1,261
263.5,131.5,1,262
264.5,132,1,263
265.5,132.5,1,264
266.5,133,1,265
267.5,133.5,1,266
268.5,134,1,267
269.5,134.5,1,268
270.5,135,1,269
271.5,135.5,1,270
272.5,136,1,271
273.5,136.5,1,272
274.5,137,1,273
275.5,137.5,1,274
276.5,138,1,275
277.5,138.5,1,276
278.5,139,1,277
279.5,139.5,1,278
280.5,140,1,279
281.5,140.5,1,280
282.5,141,1,281
283.5,141.5,1,282
284.5,142,1,283
285.5,142.5,1,284
286.5,143,1,285
287.5,143.5,1,286
288.5,144,1,287
289.5,144.5,1,288
290.5,145,1,289
291.5,145.5,1,290
292.5,146,1,291
293.5,146.5,1,292
294.5,147,1,293
295.5,147.5,1,294
296.5,148,1,295
297.5,148.5,1,296
298.5,149,1,297
299.5,149.5,1,298
300.5,150,1,299
301.5,150.5,1,300
302.5,151,1,301
303.5,151.5,1,302
304.5,152,1,303
305.5,152.5,1,304
306.5,153,1,305
307.5,153.5,1,306
308.5,154,1,307
309.5,154.5,1,308
310.5,155,1,309
311.5,155.5,1,310
312.5,156,1,311
313.5,156.5,1,312
314.5,157,1,313
315.5,157.5,1,314
316.5,158,1,315
317.5,158.5,1,316
318.5,159,1,317
319.5,159.5,1,318
320.5,160,1,319
321.5,160.5,1,320
322.5,161,1,321
323.5,161.5,1,322
324.5,162,1,323
325.5,162.5,1,324
326.5,163,1,325
327.5,163.5,1,326
328.5,164,1,327
329.5,164.5,1,328
330.5,165,1,329
331.5,165.5,1,330
332.5,166,1,331
333.5,166.5,1,332
334.5,167,1,333
335.5,167.5,1,334
336.5,168,1,335
337.5,168.5,1,336
338.5,169,1,337
339.5,169.5,1,338
340.5,170,1,339
341.5,170.5,1,340
342.5,171,1,341
343.5,171.5,1,342
344.5,172,1,343
345.5,172.5,1,344
346.5,173,1,345
347.5,173.5,1,346
348.5,174,1,347
349.5,174.5,1,348
350.5,175,1,349
351.5,175.5,1,350
352.5,176,1,351
353.5,176.5,1,352
354.5,177,1,353
355.5,177.5,1,354
356.5,178,1,355
357.5,178.5,1,356
358.5,179,1,357
359.5,179.5,1,358
360.5,180,1,359
361.5,180.5,1,360
362.5,181,1,361
363.5,181.5,1,362
364.5,182,1,363
365.5,182.5,1,364
366.5,183,1,365
367.5,183.5,1,366
368.5,184,1,367
369.5,184.5,1,368
370.5,185,1,369
371.5,185.5,1,370
372.5,186,1,371
373.5,186.5,1,372
374.5,187,1,373
375.5,187.5,1,374
376.5,188,1,375
377.5,188.5,1,376
378.5,189,1,377
379.5,189.5,1,378
380.5,190,1,379
381.5,190.5,1,380
382.5,191,1,381
383.5,191.5,1,382
384.5,192,1,383
385.5,192.5,1,384
386.5,193,1,385
387.5,193.5,1,386
388.5,194,1,387
389.5,194.5,1,388
390.5,195,1,389
391.5,195.5,1,390
392.5,196,1,391
393.5,196.5,1,392
394.5,197,1,393
395.5,197.5,1,394
396.5,198,1,395
397.5,198.5,1,396
398.5,199,1,397
399.5,199.5,1,398
400.5,200,1,399
