FinishTime,ArrivalTime,ServiceTime,ID
1.004460000000001e+03,9.994600000000006e+02,1.000000000000000e+00,300
1.005910000000001e+03,1.000910000000001e+03,1.000000000000000e+00,302
1.007870000000001e+03,9.928700000000006e+02,3.000000000000000e+00,298
1.010900000000001e+03,1.005900000000001e+03,1.000000000000000e+00,304
1.011120000000001e+03,1.006120000000001e+03,1.000000000000000e+00,305
1.012210000000001e+03,1.002210000000001e+03,2.000000000000000e+00,303
1.012870000000001e+03,1.007340000000001e+03,1.000000000000000e+00,306
1.015890000000001e+03,1.000890000000001e+03,3.000000000000000e+00,301
1.017150000000001e+03,1.012150000000001e+03,1.000000000000000e+00,308
1.017930000000001e+03,1.012930000000001e+03,1.000000000000000e+00,309
1.020660000000001e+03,1.015660000000001e+03,1.000000000000000e+00,310
1.020900000000001e+03,1.009010000000001e+03,2.000000000000000e+00,307
1.024410000000001e+03,1.019410000000001e+03,1.000000000000000e+00,311
1.029670000000001e+03,1.024670000000001e+03,1.000000000000000e+00,312
1.038030000000001e+03,1.033030000000001e+03,1.000000000000000e+00,314
1.038480000000001e+03,1.033480000000001e+03,1.000000000000000e+00,315
1.041310000000001e+03,1.036310000000001e+03,1.000000000000000e+00,316
1.042780000000001e+03,1.037780000000001e+03,1.000000000000000e+00,317
1.043430000000001e+03,1.028430000000001e+03,3.000000000000000e+00,313
1.046470000000001e+03,1.041470000000001e+03,1.000000000000000e+00,318
1.049640000000001e+03,1.044640000000001e+03,1.000000000000000e+00,320
1.052120000000001e+03,1.047120000000001e+03,1.000000000000000e+00,322
1.054940000000001e+03,1.049940000000001e+03,1.000000000000000e+00,323
1.055660000000001e+03,1.050660000000001e+03,1.000000000000000e+00,324
1.055840000000001e+03,1.045840000000001e+03,2.000000000000000e+00,321
1.056800000000001e+03,1.041800000000001e+03,3.000000000000000e+00,319
1.059360000000001e+03,1.054360000000001e+03,1.000000000000000e+00,325
1.060970000000001e+03,1.055970000000001e+03,1.000000000000000e+00,326
1.066290000000001e+03,1.061290000000001e+03,1.000000000000000e+00,327
1.071160000000001e+03,1.066160000000001e+03,1.000000000000000e+00,329
1.076740000000001e+03,1.061740000000001e+03,3.000000000000000e+00,328
