FinishTime,ArrivalTime,ServiceTime,ID
1.888785624201660e+01,7.123150359663660e+00,5.882352941176471e-01,11058100
2.001205953108398e+01,8.247353648731038e+00,5.882352941176471e-01,11058101
2.258541857915941e+01,1.082071269680647e+01,5.882352941176471e-01,11058106
2.714575284317241e+01,1.538104696081947e+01,5.882352941176471e-01,11058108
2.900752674385339e+01,1.724282086150045e+01,5.882352941176471e-01,11058110
3.070189222881522e+01,1.893718634646228e+01,5.882352941176471e-01,11058115
3.375914281460396e+01,2.199443693225101e+01,5.882352941176471e-01,11058117
3.401813152971857e+01,2.225342564736563e+01,5.882352941176471e-01,11058118
3.458099053257905e+01,2.281628465022611e+01,5.882352941176471e-01,11058119
3.564824567139709e+01,2.388353978904415e+01,5.882352941176471e-01,11058122
3.580222377475849e+01,2.403751789240555e+01,5.882352941176471e-01,11058123
3.634886475897034e+01,2.458415887661740e+01,5.882352941176471e-01,11058124
3.719304579769594e+01,2.542833991534300e+01,5.882352941176471e-01,11058125
3.892047461762928e+01,2.715576873527634e+01,5.882352941176471e-01,11058127
4.162667330251667e+01,2.986196742016373e+01,5.882352941176471e-01,11058128
4.404956979023125e+01,8.755452143172430e+00,1.764705882352941e+00,11058102
4.488578809294910e+01,1.834927936415765e+01,1.176470588235294e+00,11058113
4.585468836583061e+01,8.997572021907610e+00,1.764705882352941e+00,11058103
4.812189838155100e+01,9.248593905981786e+00,1.764705882352941e+00,11058104
5.081394227371427e+01,3.904923639136133e+01,5.882352941176471e-01,11058133
5.083847659407676e+01,1.050236858286112e+01,1.764705882352941e+00,11058105
5.390131590230519e+01,1.239570408210716e+01,1.764705882352941e+00,11058107
5.435367186812119e+01,4.258896598576824e+01,5.882352941176471e-01,11058136
5.514897061307302e+01,4.338426473072008e+01,5.882352941176471e-01,11058139
5.620435519685066e+01,4.443964931449771e+01,5.882352941176471e-01,11058140
5.665049397530204e+01,1.855957625802657e+01,1.764705882352941e+00,11058114
5.811040229728493e+01,1.912248206240017e+01,1.764705882352941e+00,11058116
5.872551417728470e+01,2.343139653022588e+01,1.764705882352941e+00,11058120
5.873147475781149e+01,2.343735711075267e+01,1.764705882352941e+00,11058121
6.129013683547459e+01,4.952543095312164e+01,5.882352941176471e-01,11058142
6.312290901556916e+01,2.617261245893408e+01,1.764705882352941e+00,11058126
6.398615254601327e+01,5.222144666366033e+01,5.882352941176471e-01,11058144
6.482347537222607e+01,5.305876948987313e+01,5.882352941176471e-01,11058146
6.568727700386149e+01,5.392257112150855e+01,5.882352941176471e-01,11058149
6.639040982511286e+01,5.462570394275992e+01,5.882352941176471e-01,11058150
6.831360899106545e+01,5.654890310871251e+01,5.882352941176471e-01,11058152
6.867383108093269e+01,3.169768996228803e+01,1.764705882352941e+00,11058130
6.867383108093269e+01,3.142650013441050e+01,1.764705882352941e+00,11058129
6.930307646181889e+01,5.753837057946595e+01,5.882352941176471e-01,11058153
6.955033953713014e+01,5.778563365477720e+01,5.882352941176471e-01,11058154
7.307994699854702e+01,6.131524111619408e+01,5.882352941176471e-01,11058157
7.542964277759402e+01,5.120554206256213e+01,1.176470588235294e+00,11058143
7.545962070993476e+01,6.369491482758182e+01,5.882352941176471e-01,11058158
7.562683480783499e+01,6.386212892548205e+01,5.882352941176471e-01,11058159
7.576715168148199e+01,3.753380887245718e+01,1.764705882352941e+00,11058132
7.700501338515848e+01,6.524030750280553e+01,5.882352941176471e-01,11058160
7.834103957904913e+01,6.657633369669619e+01,5.882352941176471e-01,11058161
7.849464526138421e+01,6.672993937903127e+01,5.882352941176471e-01,11058162
7.921162688576444e+01,6.744692100341150e+01,5.882352941176471e-01,11058164
7.965036088089712e+01,6.788565499854417e+01,5.882352941176471e-01,11058165
7.983154358143614e+01,6.806683769908320e+01,5.882352941176471e-01,11058166
8.334931979691796e+01,7.158461391456502e+01,5.882352941176471e-01,11058168
8.365012617655051e+01,7.188542029419757e+01,5.882352941176471e-01,11058169
8.375174657892364e+01,4.219096207668705e+01,1.764705882352941e+00,11058134
8.473987071170294e+01,7.297516482935000e+01,5.882352941176471e-01,11058170
8.505969295674567e+01,7.329498707439273e+01,5.882352941176471e-01,11058172
8.586324681857008e+01,7.409854093621714e+01,5.882352941176471e-01,11058173
8.615649412751932e+01,7.439178824516638e+01,5.882352941176471e-01,11058175
8.721433394817412e+01,7.493458190010889e+01,5.882352941176471e-01,11058176
8.739154069018793e+01,7.549286757663941e+01,5.882352941176471e-01,11058179
9.022094972315338e+01,7.745544894724337e+01,5.882352941176471e-01,11058181
9.082565480218659e+01,7.906094891983365e+01,5.882352941176471e-01,11058185
9.141506676325006e+01,7.946261252919215e+01,5.882352941176471e-01,11058187
9.165488762085819e+01,7.989018173850525e+01,5.882352941176471e-01,11058188
9.511373941800950e+01,8.160778587399249e+01,5.882352941176471e-01,11058190
9.511373941800950e+01,7.991827784545620e+01,5.882352941176471e-01,11058189
9.541483205890345e+01,8.342990688130460e+01,5.882352941176471e-01,11058193
9.578481922148032e+01,8.402011333912738e+01,5.882352941176471e-01,11058194
9.622850558857696e+01,4.525521761516329e+01,1.764705882352941e+00,11058141
9.909392172779041e+01,5.222546553291855e+01,1.764705882352941e+00,11058145
1.008824927941696e+02,8.911778691181667e+01,5.882352941176471e-01,11058197
1.015067364553692e+02,8.974203057301622e+01,5.882352941176471e-01,11058198
1.017121817160107e+02,5.313804252374482e+01,1.764705882352941e+00,11058147
1.024936884107504e+02,9.072898252839745e+01,5.882352941176471e-01,11058199
1.044148667662093e+02,5.363650512521449e+01,1.764705882352941e+00,11058148
1.044820966846172e+02,9.271739080226430e+01,5.882352941176471e-01,11058203
1.050381858504423e+02,9.327347996808939e+01,5.882352941176471e-01,11058204
1.073904400620710e+02,5.467276648170908e+01,1.764705882352941e+00,11058151
1.087711935350992e+02,9.700648765274627e+01,5.882352941176471e-01,11058205
1.089780742114430e+02,5.805423653077507e+01,1.764705882352941e+00,11058155
1.120248832883980e+02,1.002601774060451e+02,5.882352941176471e-01,11058208
1.121039310592390e+02,1.003392251768861e+02,5.882352941176471e-01,11058209
1.126951263526391e+02,1.009304204702862e+02,5.882352941176471e-01,11058210
1.127600250358825e+02,1.009953191535296e+02,5.882352941176471e-01,11058211
1.129580894955199e+02,1.011933836131670e+02,5.882352941176471e-01,11058213
1.141111241928491e+02,1.023464183104961e+02,5.882352941176471e-01,11058215
1.143049684904547e+02,5.938741684705963e+01,1.764705882352941e+00,11058156
1.172022506564922e+02,6.714549105396536e+01,1.764705882352941e+00,11058163
1.176703165494718e+02,9.109371342026833e+01,1.176470588235294e+00,11058200
1.213707619783706e+02,1.096060560960177e+02,5.882352941176471e-01,11058219
1.218174658504243e+02,7.746539088004065e+01,1.764705882352941e+00,11058182
1.244923098879318e+02,1.127276040055788e+02,5.882352941176471e-01,11058221
