FinishTime,ArrivalTime,ServiceTime,ID
4.791091519568000e+00,1.849915048979764e+00,5.882352941176471e-01,5584531
5.386566648375567e+00,2.445390177787331e+00,5.882352941176471e-01,5584532
7.421526112787417e+00,4.480349642199182e+00,5.882352941176471e-01,5584534
8.680995641221510e+00,5.739819170633274e+00,5.882352941176471e-01,5584535
9.093523337375255e+00,6.152346866787020e+00,5.882352941176471e-01,5584536
9.187923432260900e+00,6.246746961672664e+00,5.882352941176471e-01,5584537
9.497735269926011e+00,6.418459413030743e+00,5.882352941176471e-01,5584538
1.109814022818747e+01,6.007600111483769e-01,1.764705882352941e+00,5584528
1.244132264428143e+01,9.500146173693194e+00,5.882352941176471e-01,5584539
1.339361253703812e+01,1.045243606644988e+01,5.882352941176471e-01,5584540
1.378173061158258e+01,1.057459922759858e+01,5.882352941176471e-01,5584541
1.429814295898130e+01,1.277917403303118e+00,1.764705882352941e+00,5584530
1.429814295898130e+01,1.173277512320938e+00,1.764705882352941e+00,5584529
1.726041012255291e+01,1.431923365196467e+01,5.882352941176471e-01,5584544
1.801145284402561e+01,3.615382328749540e+00,1.764705882352941e+00,5584533
2.048961344844181e+01,1.166608403667710e+01,1.764705882352941e+00,5584542
2.110833796532893e+01,1.816716149474069e+01,5.882352941176471e-01,5584546
2.147248081863605e+01,1.853130434804782e+01,5.882352941176471e-01,5584547
2.147413370465276e+01,1.853295723406453e+01,5.882352941176471e-01,5584548
2.158668426681152e+01,1.864550779622329e+01,5.882352941176471e-01,5584549
2.291088745244108e+01,1.419990860283513e+01,1.176470588235294e+00,5584543
2.360441795627946e+01,1.909766275339952e+01,5.882352941176471e-01,5584550
2.423158586257073e+01,2.081442646837107e+01,5.882352941176471e-01,5584554
2.423158586257073e+01,2.075005550431593e+01,5.882352941176471e-01,5584553
2.570239107842395e+01,2.276121460783572e+01,5.882352941176471e-01,5584555
2.654288796961078e+01,2.358067453870095e+01,5.882352941176471e-01,5584557
2.654288796961078e+01,2.304832306924913e+01,5.882352941176471e-01,5584556
2.717276233315896e+01,1.451325222323681e+01,1.764705882352941e+00,5584545
2.864356754901219e+01,2.556196075860019e+01,5.882352941176471e-01,5584559
3.050173066242274e+01,2.693840198000842e+01,5.882352941176471e-01,5584565
3.050173066242274e+01,2.660650018909150e+01,5.882352941176471e-01,5584564
3.202089552006402e+01,2.856747548030291e+01,5.882352941176471e-01,5584567
3.256599661384781e+01,2.962482014325957e+01,5.882352941176471e-01,5584568
3.496327660503273e+01,3.202210013444450e+01,5.882352941176471e-01,5584569
3.550219700986718e+01,3.256102053927895e+01,5.882352941176471e-01,5584570
3.739312235042088e+01,2.582404752327180e+01,1.764705882352941e+00,5584560
3.739312235042088e+01,2.500716957992181e+01,1.764705882352941e+00,5584558
3.765201745392642e+01,3.471084098333819e+01,5.882352941176471e-01,5584572
3.858966907785923e+01,2.855096143676611e+01,1.176470588235294e+00,5584566
4.210947589759757e+01,3.268136611027434e+01,1.764705882352941e+00,5584571
4.354612185711006e+01,3.678854197486236e+01,1.176470588235294e+00,5584573
4.672121887165112e+01,4.378004240106289e+01,5.882352941176471e-01,5584580
4.955427245079117e+01,4.622813304368667e+01,5.882352941176471e-01,5584586
4.991272200957604e+01,3.724562213863659e+01,1.764705882352941e+00,5584574
5.206925932100535e+01,4.053170232478555e+01,1.176470588235294e+00,5584576
5.403853336683047e+01,5.109735689624224e+01,5.882352941176471e-01,5584589
5.466959627495514e+01,5.172841980436691e+01,5.882352941176471e-01,5584590
5.501043579159359e+01,4.036519359042487e+01,1.764705882352941e+00,5584575
5.505194796509510e+01,5.211077149450687e+01,5.882352941176471e-01,5584591
5.531502362288375e+01,5.237384715229552e+01,5.882352941176471e-01,5584592
5.697970983741871e+01,5.360780472066432e+01,5.882352941176471e-01,5584593
5.761077274554338e+01,5.423982441536124e+01,5.882352941176471e-01,5584594
5.888569570884915e+01,5.594451923826092e+01,5.882352941176471e-01,5584595
