FinishTime,ArrivalTime,ServiceTime,ID
1.552014496102752e+01,3.755439078674580e+00,5.882352941176471e-01,10868730
1.600075363481298e+01,4.236047752460041e+00,5.882352941176471e-01,10868731
1.805409311758013e+01,6.289387235227193e+00,5.882352941176471e-01,10868734
1.963377993547088e+01,7.869074053117939e+00,5.882352941176471e-01,10868737
2.038965669503780e+01,8.624950812684857e+00,5.882352941176471e-01,10868738
2.178116740205640e+01,1.001646151970346e+01,5.882352941176471e-01,10868740
2.359354661526618e+01,1.182884073291324e+01,5.882352941176471e-01,10868743
2.477931214174702e+01,1.301460625939408e+01,5.882352941176471e-01,10868744
2.561491929025387e+01,1.385021340790092e+01,5.882352941176471e-01,10868746
2.569928886515151e+01,1.393458298279856e+01,5.882352941176471e-01,10868747
2.606878025041736e+01,1.430407436806442e+01,5.882352941176471e-01,10868748
2.752515518027319e+01,1.441851620241836e+01,5.882352941176471e-01,10868749
2.973598138031775e+01,1.774485494703312e+01,5.882352941176471e-01,10868754
2.990988915901285e+01,6.206569615611868e+00,1.176470588235294e+00,10868733
3.175754542317552e+01,1.999283954082258e+01,5.882352941176471e-01,10868755
3.187721608635362e+01,2.011251020400068e+01,5.882352941176471e-01,10868756
3.189727463501469e+01,6.996550548046508e+00,1.176470588235294e+00,10868736
3.189727463501469e+01,6.471567553386746e+00,1.176470588235294e+00,10868735
3.361812789840786e+01,2.185342201605492e+01,5.882352941176471e-01,10868757
3.471299072664555e+01,9.821088306885673e+00,1.176470588235294e+00,10868739
3.574149988894173e+01,2.397679400658879e+01,5.882352941176471e-01,10868758
3.595473507929604e+01,2.419002919694310e+01,5.882352941176471e-01,10868759
3.628640459426205e+01,9.922869472032302e-01,1.764705882352941e+00,10868729
3.748384500491221e+01,2.571913912255927e+01,5.882352941176471e-01,10868760
4.113137377347600e+01,1.611132159354095e+01,1.176470588235294e+00,10868751
4.167459504136579e+01,5.551470249891170e+00,1.764705882352941e+00,10868732
4.421410859345054e+01,3.244940271109759e+01,5.882352941176471e-01,10868762
4.489875241225139e+01,3.313404652989845e+01,5.882352941176471e-01,10868763
4.652277359009376e+01,3.475806770774082e+01,5.882352941176471e-01,10868764
4.689709149182151e+01,3.513238560946857e+01,5.882352941176471e-01,10868765
4.761038392327885e+01,1.129301416907237e+01,1.764705882352941e+00,10868742
4.761038392327885e+01,1.125583357593819e+01,1.764705882352941e+00,10868741
4.817981944104646e+01,3.641511355869352e+01,5.882352941176471e-01,10868766
4.908357628240350e+01,3.731887040005056e+01,5.882352941176471e-01,10868767
4.914433105495975e+01,1.313348282988638e+01,1.764705882352941e+00,10868745
5.092340027047317e+01,3.915869438812023e+01,5.882352941176471e-01,10868768
5.105456694497907e+01,1.459594150200922e+01,1.764705882352941e+00,10868750
5.500790932895920e+01,4.324320344660626e+01,5.882352941176471e-01,10868769
5.680524000841119e+01,4.504053412605824e+01,5.882352941176471e-01,10868771
5.704762956099618e+01,4.528292367864324e+01,5.882352941176471e-01,10868772
5.945847080528947e+01,4.769376492293653e+01,5.882352941176471e-01,10868775
6.275200190852057e+01,5.098729602616763e+01,5.882352941176471e-01,10868777
6.487846515142399e+01,2.958434750436517e+01,1.764705882352941e+00,10868761
6.674849632820719e+01,5.498379044585425e+01,5.882352941176471e-01,10868779
6.851345881476617e+01,5.674875293241323e+01,5.882352941176471e-01,10868780
6.853939720494242e+01,5.677469132258948e+01,5.882352941176471e-01,10868781
6.856451956243230e+01,4.503510779772642e+01,1.176470588235294e+00,10868770
7.011225130075922e+01,5.834754541840628e+01,5.882352941176471e-01,10868782
7.312625053724625e+01,6.136154465489331e+01,5.882352941176471e-01,10868783
7.329054939797434e+01,4.976113763326846e+01,1.176470588235294e+00,10868776
7.386769131000905e+01,6.210298542765610e+01,5.882352941176471e-01,10868784
7.445335862869457e+01,6.268865274634163e+01,5.882352941176471e-01,10868785
7.601625785234401e+01,6.425155196999107e+01,5.882352941176471e-01,10868786
7.622398356798066e+01,6.445927768562772e+01,5.882352941176471e-01,10868787
7.646067461545449e+01,6.469596873310155e+01,5.882352941176471e-01,10868788
8.009153254136921e+01,6.832682665901627e+01,5.882352941176471e-01,10868791
8.011197295854194e+01,6.834726707618900e+01,5.882352941176471e-01,10868792
8.058200106165145e+01,4.528788341459263e+01,1.764705882352941e+00,10868773
8.236814351916141e+01,4.707402587210258e+01,1.764705882352941e+00,10868774
8.275368420369381e+01,7.098897832134087e+01,5.882352941176471e-01,10868794
8.299530998364546e+01,7.123060410129252e+01,5.882352941176471e-01,10868795
8.440897333970755e+01,7.264426745735460e+01,5.882352941176471e-01,10868797
8.818754696259605e+01,5.289342931553723e+01,1.764705882352941e+00,10868778
8.904057749827743e+01,7.727587161592449e+01,5.882352941176471e-01,10868800
9.062156085979952e+01,7.885685497744658e+01,5.882352941176471e-01,10868802
9.117477053300420e+01,7.941006465065126e+01,5.882352941176471e-01,10868803
9.140951051263948e+01,6.788009874793359e+01,1.176470588235294e+00,10868789
9.165575110155164e+01,7.989104521919870e+01,5.882352941176471e-01,10868804
9.179768879441856e+01,8.003298291206561e+01,5.882352941176471e-01,10868805
9.269793123419486e+01,8.093322535184192e+01,5.882352941176471e-01,10868808
9.369069245879350e+01,7.016128069408762e+01,1.176470588235294e+00,10868793
9.490439466300319e+01,8.313968878065024e+01,5.882352941176471e-01,10868809
9.587331806293030e+01,7.234390629822442e+01,1.176470588235294e+00,10868796
9.823032715392026e+01,8.646562127156732e+01,5.882352941176471e-01,10868813
1.005209398687366e+02,8.759501356341323e+01,5.882352941176471e-01,10868815
1.005209398687366e+02,8.670952496200690e+01,5.882352941176471e-01,10868814
1.029394764153571e+02,9.068293708012384e+01,5.882352941176471e-01,10868818
