FinishTime,ArrivalTime,ServiceTime,ID
6.284266328706100e+00,3.343089858117864e+00,5.882352941176471e-01,4515178
6.320123647673681e+00,4.377707064972104e-01,1.176470588235294e+00,4515176
1.081134832462804e+01,7.870171854039807e+00,5.882352941176471e-01,4515181
1.082854015334216e+01,2.005010741577459e+00,1.764705882352941e+00,4515177
1.128852047866742e+01,8.347344008079185e+00,5.882352941176471e-01,4515182
1.176852539713600e+01,8.398372791058643e+00,5.882352941176471e-01,4515183
1.366827462424494e+01,8.900090962563839e+00,5.882352941176471e-01,4515185
1.399970678659303e+01,5.813430419943464e+00,1.176470588235294e+00,4515179
1.470970186772424e+01,1.140863575091386e+01,5.882352941176471e-01,4515190
1.694088325718126e+01,7.448920999183127e+00,1.764705882352941e+00,4515180
1.814016466850489e+01,1.519898819791665e+01,5.882352941176471e-01,4515192
1.838727691812559e+01,1.544610044753736e+01,5.882352941176471e-01,4515193
1.955062756542141e+01,1.593310201590667e+01,5.882352941176470e-01,4515194
1.955062756542141e+01,9.209819971814269e+00,1.764705882352941e+00,4515186
2.250846227441752e+01,1.956728580382928e+01,5.882352941176471e-01,4515196
2.266308104251869e+01,1.972190457193046e+01,5.882352941176471e-01,4515197
2.282323619835773e+01,1.323607420025276e+01,1.764705882352941e+00,4515191
2.560425751310693e+01,2.258981500205018e+01,5.882352941176471e-01,4515203
2.584322282487874e+01,2.290204635429051e+01,5.882352941176471e-01,4515204
2.699929417007203e+01,2.405811769948379e+01,5.882352941176471e-01,4515206
2.849524217552213e+01,2.472894680994757e+01,5.882352941176471e-01,4515208
2.849524217552213e+01,2.437645489622539e+01,5.882352941176471e-01,4515207
2.983118615606789e+01,2.689000968547965e+01,5.882352941176471e-01,4515209
3.161116552032001e+01,1.804060796745162e+01,1.764705882352941e+00,4515195
3.355636268316670e+01,2.065227526613081e+01,1.764705882352941e+00,4515198
3.489018990168763e+01,3.194901343109940e+01,5.882352941176471e-01,4515212
3.731877158728683e+01,2.801737542535375e+01,1.764705882352941e+00,4515210
3.812830193542662e+01,2.930477252366191e+01,1.764705882352941e+00,4515211
3.861017777747120e+01,3.566900130688297e+01,5.882352941176471e-01,4515214
4.051611256608231e+01,3.757493609549407e+01,5.882352941176471e-01,4515215
4.134108300141924e+01,3.839990653083100e+01,5.882352941176471e-01,4515216
4.185085500810005e+01,3.890967853751181e+01,5.882352941176471e-01,4515217
4.209594252387128e+01,3.915476605328304e+01,5.882352941176471e-01,4515218
4.336778633070573e+01,3.454425691894102e+01,1.764705882352941e+00,4515213
4.347183727147366e+01,4.053066080088543e+01,5.882352941176471e-01,4515219
4.428225947200747e+01,4.106447831101169e+01,5.882352941176471e-01,4515220
5.071972318726972e+01,4.777854671668148e+01,5.882352941176471e-01,4515224
5.076500529640220e+01,4.194147588463749e+01,1.764705882352941e+00,4515221
5.091947193563598e+01,4.207971792642799e+01,1.764705882352941e+00,4515222
5.164414841899485e+01,4.870297194840662e+01,5.882352941176471e-01,4515225
5.328408658711880e+01,4.931497647289150e+01,5.882352941176471e-01,4515226
5.664735823757867e+01,4.740173364594232e+01,1.764705882352941e+00,4515223
5.826210564301061e+01,5.237975270183414e+01,1.176470588235294e+00,4515228
5.831011976839973e+01,5.536894329781149e+01,5.882352941176471e-01,4515230
5.954325259903442e+01,5.040750771287745e+01,1.764705882352941e+00,4515227
5.980841355606851e+01,5.686723708548028e+01,5.882352941176471e-01,4515231
