FinishTime,ArrivalTime,ServiceTime,ID
4.038464937280982e+00,2.273759054928041e+00,5.882352941176471e-01,30618640
6.283852199646005e+00,9.897345525871813e-01,1.764705882352941e+00,30618639
7.567876701986865e+00,3.630430559623207e+00,1.176470588235294e+00,30618642
8.048558081998946e+00,5.284727057014804e+00,5.882352941176471e-01,30618643
8.738850693079212e+00,3.444733046020388e+00,1.764705882352941e+00,30618641
1.074065188302188e+01,8.975946000668941e+00,5.882352941176471e-01,30618646
1.286199434904569e+01,6.965629477814188e+00,1.764705882352941e+00,30618644
1.334267572905777e+01,7.541464299545261e+00,1.764705882352941e+00,30618645
1.462670023139863e+01,1.255382395008348e+01,5.882352941176471e-01,30618648
1.639140611375157e+01,1.431688181569010e+01,5.882352941176471e-01,30618650
1.646261068318063e+01,1.116849303612181e+01,1.764705882352941e+00,30618647
1.815611199610451e+01,1.610030242506298e+01,5.882352941176471e-01,30618651
1.863679337611659e+01,1.277057769636566e+01,1.764705882352941e+00,30618649
2.190632460473580e+01,1.661220695767698e+01,1.764705882352941e+00,30618652
2.482861322376745e+01,2.306390734141451e+01,5.882352941176471e-01,30618653
2.701484835289874e+01,2.525014247054580e+01,5.882352941176471e-01,30618655
2.773628836285209e+01,2.597158248049915e+01,5.882352941176471e-01,30618656
2.962980195956436e+01,2.433568431250554e+01,1.764705882352941e+00,30618654
3.139450784191730e+01,2.813885451106416e+01,5.882352941176471e-01,30618659
3.230896599995756e+01,2.655123185896754e+01,1.764705882352941e+00,30618657
3.319628291215357e+01,2.790216526509475e+01,1.764705882352941e+00,30618658
3.496098879450651e+01,3.132682593736745e+01,5.882352941176471e-01,30618662
3.583837776466344e+01,3.062401569484473e+01,1.176470588235294e+00,30618661
3.668862548897613e+01,2.971402495791743e+01,1.764705882352941e+00,30618660
3.672569467685945e+01,3.150754145369069e+01,5.882352941176471e-01,30618663
3.760308364701638e+01,3.237627389181852e+01,5.882352941176471e-01,30618664
3.845333137132907e+01,3.445831551076798e+01,5.882352941176471e-01,30618665
4.025510644156534e+01,3.501555258426624e+01,1.176470588235294e+00,30618666
4.067706169633681e+01,3.891235581398387e+01,5.882352941176471e-01,30618668
4.223330018940533e+01,4.046859430705239e+01,5.882352941176471e-01,30618669
4.278433383127443e+01,4.101962794892149e+01,5.882352941176471e-01,30618670
4.289720129407521e+01,3.593852496107152e+01,1.764705882352941e+00,30618667
4.704499541758332e+01,4.528028953523038e+01,5.882352941176471e-01,30618671
4.887842673859190e+01,4.711372085623896e+01,5.882352941176471e-01,30618673
4.999439011254375e+01,4.646497834783786e+01,1.176470588235294e+00,30618672
5.102553756781328e+01,4.926083168546034e+01,5.882352941176471e-01,30618675
5.279024345016622e+01,4.977829256774967e+01,5.882352941176471e-01,30618677
5.299855959952116e+01,4.770444195246234e+01,1.764705882352941e+00,30618674
5.476326548187410e+01,5.129145938222618e+01,5.882352941176471e-01,30618679
5.528850775960257e+01,4.946423283779371e+01,1.764705882352941e+00,30618676
5.808436109722505e+01,5.005645192191736e+01,1.764705882352941e+00,30618678
5.881791952430845e+01,5.282264541514543e+01,1.176470588235294e+00,30618681
6.005738312893293e+01,5.177855351292234e+01,1.764705882352941e+00,30618680
6.058262540666139e+01,5.596470285928189e+01,5.882352941176471e-01,30618683
6.161377286193093e+01,5.482833775332728e+01,1.176470588235294e+00,30618682
6.182208901128587e+01,5.833232744533674e+01,5.882352941176471e-01,30618684
6.234733128901433e+01,5.946842324246063e+01,5.882352941176471e-01,30618685
6.690789050898975e+01,6.003221226719161e+01,1.764705882352941e+00,30618686
6.711620665834469e+01,6.027719124744375e+01,1.764705882352941e+00,30618687
6.867259639134270e+01,6.430202694323281e+01,5.882352941176471e-01,30618689
6.888091254069763e+01,6.456303688626262e+01,5.882352941176471e-01,30618690
6.940865309745733e+01,6.411453545039851e+01,1.764705882352941e+00,30618688
7.117335897981027e+01,6.531045231300321e+01,5.882352941176471e-01,30618693
7.220200815604858e+01,6.466919953874105e+01,1.176470588235294e+00,30618691
7.417503018775645e+01,6.479212381193666e+01,1.764705882352941e+00,30618692
7.593973607010940e+01,6.722378392743617e+01,5.882352941176471e-01,30618696
7.646747662686910e+01,6.567024817263910e+01,1.764705882352941e+00,30618694
7.749612580310740e+01,6.698264755499108e+01,1.764705882352941e+00,30618695
7.926083168546034e+01,7.027935778660621e+01,5.882352941176471e-01,30618699
8.102553756781328e+01,7.035132640516701e+01,5.882352941176471e-01,30618700
8.123385371716822e+01,6.750950095571498e+01,1.764705882352941e+00,30618697
8.176159427392792e+01,6.883627801422316e+01,1.764705882352941e+00,30618698
8.279024345016622e+01,7.055475744657608e+01,5.882352941176471e-01,30618701
8.299855959952116e+01,7.066446599333383e+01,5.882352941176471e-01,30618702
8.352630015628086e+01,7.130213462008558e+01,5.882352941176471e-01,30618703
8.455494933251917e+01,7.183277130390381e+01,5.882352941176471e-01,30618704
8.529100603863380e+01,7.213774940876326e+01,5.882352941176471e-01,30618706
8.631965521487211e+01,7.233184467068200e+01,5.882352941176471e-01,30618707
8.705571192098674e+01,7.457753905692833e+01,5.882352941176471e-01,30618708
8.829267724657998e+01,7.190524065601849e+01,1.764705882352941e+00,30618705
9.161377286193093e+01,7.525534142083096e+01,1.764705882352941e+00,30618709
9.234982956804557e+01,7.802025096420120e+01,1.764705882352941e+00,30618710
9.358679489363881e+01,7.964852564737548e+01,1.764705882352941e+00,30618711
9.411453545039851e+01,8.079616723559704e+01,5.882352941176471e-01,30618713
9.535150077599175e+01,8.320530069400049e+01,5.882352941176471e-01,30618714
9.587924133275145e+01,8.354252377729348e+01,5.882352941176471e-01,30618715
9.690789050898975e+01,8.013861692540679e+01,1.764705882352941e+00,30618712
9.711620665834469e+01,8.790732472125709e+01,5.882352941176471e-01,30618716
9.764394721510439e+01,8.822002205188310e+01,5.882352941176471e-01,30618717
9.867259639134270e+01,8.947521207968582e+01,5.882352941176471e-01,30618718
9.940865309745733e+01,9.387545717622739e+01,5.882352941176471e-01,30618720
1.004373022736956e+02,9.460103842469764e+01,5.882352941176471e-01,30618721
1.011733589798103e+02,9.593105605569931e+01,5.882352941176471e-01,30618722
1.022020081560486e+02,9.825621670211629e+01,5.882352941176471e-01,30618723
1.024103243054035e+02,9.095310210450516e+01,1.764705882352941e+00,30618719
1.064674766268691e+02,1.003286096267813e+02,1.764705882352941e+00,30618724
1.074961258031074e+02,1.014963868860101e+02,1.764705882352941e+00,30618725
1.079369227654289e+02,1.026428051183701e+02,1.764705882352941e+00,30618726
1.092608316854603e+02,1.040342374301447e+02,5.882352941176471e-01,30618728
1.097016286477819e+02,1.056149717606220e+02,5.882352941176471e-01,30618729
1.110255375678133e+02,1.083843598970230e+02,5.882352941176471e-01,30618730
1.117615942739279e+02,1.038533417934909e+02,1.764705882352941e+00,30618727
1.126403188717848e+02,1.108756129894319e+02,5.882352941176471e-01,30618731
1.150511877749732e+02,1.132864818926203e+02,5.882352941176471e-01,30618732
1.168158936573261e+02,1.142272348529643e+02,5.882352941176471e-01,30618735
1.188750958799719e+02,1.135809782329131e+02,1.764705882352941e+00,30618733
1.189050356092649e+02,1.136109179622061e+02,1.764705882352941e+00,30618734
1.206697414916179e+02,1.170371071960098e+02,5.882352941176471e-01,30618738
1.221100113043850e+02,1.153080797971248e+02,1.764705882352941e+00,30618736
1.224344473739708e+02,1.185415904908615e+02,5.882352941176471e-01,30618739
1.238747171867379e+02,1.188998080555102e+02,5.882352941176471e-01,30618740
1.241692135270307e+02,1.164212243623104e+02,1.764705882352941e+00,30618737
1.241991532563238e+02,1.209792781463975e+02,5.882352941176471e-01,30618741
1.256394230690908e+02,1.217132081553212e+02,5.882352941176471e-01,30618742
1.275863586705497e+02,1.258216527881968e+02,5.882352941176471e-01,30618744
1.276986252917366e+02,1.226080408095777e+02,1.176470588235294e+00,30618743
1.347206050412483e+02,1.311911932765424e+02,1.176470588235294e+00,30618746
1.348606705429347e+02,1.330959646605818e+02,5.882352941176471e-01,30618747
1.363777156873544e+02,1.310835980402956e+02,1.764705882352941e+00,30618745
1.364853109236012e+02,1.333832275381768e+02,5.882352941176471e-01,30618748
1.374023551335966e+02,1.356376492512437e+02,5.882352941176471e-01,30618749
1.389798622456913e+02,1.372151563633384e+02,5.882352941176471e-01,30618751
1.391670610159496e+02,1.372214001227339e+02,5.882352941176471e-01,30618752
1.407445681280443e+02,1.383134891171153e+02,5.882352941176471e-01,30618753
1.410038562907646e+02,1.392391504084117e+02,5.882352941176471e-01,30618754
1.416718333344132e+02,1.360860295777449e+02,1.764705882352941e+00,30618750
1.452624450307638e+02,1.434977391484109e+02,5.882352941176471e-01,30618755
1.452876222987918e+02,1.435229164164389e+02,5.882352941176471e-01,30618756
1.454263507410350e+02,1.436616448586821e+02,5.882352941176471e-01,30618757
1.470271509131168e+02,1.448722798937273e+02,5.882352941176471e-01,30618758
1.470523281811448e+02,1.450719757876527e+02,5.882352941176471e-01,30618759
1.500838396122144e+02,1.483191337298615e+02,5.882352941176471e-01,30618761
1.502222936513625e+02,1.484575877690095e+02,5.882352941176471e-01,30618762
1.527661979306503e+02,1.474720802835915e+02,1.764705882352941e+00,30618760
1.553779572592732e+02,1.486104246340147e+02,1.764705882352941e+00,30618763
1.555164112984213e+02,1.494689724607595e+02,1.764705882352941e+00,30618764
1.572811171807742e+02,1.547268875477843e+02,5.882352941176471e-01,30618767
1.580603155777091e+02,1.521384183576388e+02,1.764705882352941e+00,30618765
1.606720749063321e+02,1.530720231009238e+02,1.764705882352941e+00,30618766
1.615897273424150e+02,1.557324728007429e+02,1.176470588235294e+00,30618769
1.625752348278330e+02,1.550212933544197e+02,1.764705882352941e+00,30618768
1.633544332247680e+02,1.563940363906833e+02,5.882352941176471e-01,30618771
1.643399407101860e+02,1.564313043507624e+02,5.882352941176471e-01,30618772
1.651191391071209e+02,1.568258259868215e+02,5.882352941176471e-01,30618773
1.659661925533909e+02,1.558309038691452e+02,1.764705882352941e+00,30618770
1.661046465925389e+02,1.569218963774626e+02,5.882352941176471e-01,30618774
1.668838449894738e+02,1.570545996312464e+02,5.882352941176471e-01,30618775
1.686485508718268e+02,1.584510202367108e+02,5.882352941176471e-01,30618778
1.696340583572448e+02,1.581667879668750e+02,1.176470588235294e+00,30618777
1.704132567541797e+02,1.607697697336579e+02,5.882352941176471e-01,30618779
1.712603102004497e+02,1.572155590656374e+02,1.764705882352941e+00,30618776
1.713987642395977e+02,1.608645271331863e+02,5.882352941176471e-01,30618780
1.731634701219507e+02,1.620948471607058e+02,5.882352941176471e-01,30618783
1.739426685188856e+02,1.609625299653568e+02,1.176470588235294e+00,30618781
1.747897219651556e+02,1.617920574892608e+02,1.176470588235294e+00,30618782
1.765544278475085e+02,1.653413991834360e+02,5.882352941176471e-01,30618786
