FinishTime,ArrivalTime,ServiceTime
103.116,101.219,0
104.145,101.313,0
105.844,101.546,0
109.375,106.85,0
111.147,107.019,0
117.154,114.693,0
118.668,115.179,0
120.403,116.035,0
121.403,116.035,0
124.198,119.403,0
126.195,121.452,0
128.148,123.198,0
129.148,123.198,0
132.46,126.956,0
133.46,126.956,0
135.331,127.148,0
136.331,127.148,0
137.331,127.148,0
138.331,127.148,0
140.005,131.46,0
141.005,131.46,0
142.005,131.46,0
143.005,131.46,0
144.005,131.46,0
145.21,134.331,0
146.598,138.875,0
148.499,144.21,0
149.499,144.21,0
151.458,147.497,0
152.458,147.497,0
154.82,149.621,0
155.82,149.621,0
157.042,149.688,0
160.295,157.496,0
161.295,157.496,0
162.295,157.496,0
163.295,157.496,0
166.468,159.077,0
167.468,159.077,0
169.086,159.295,0
171.699,168.086,0
173.408,169.425,0
175.298,172.408,0
177.161,174.288,0
179.178,175.42,0
180.969,175.831,0
182.515,176.161,0
184.062,177.432,0
188.163,185.373,0
189.163,185.373,0
190.902,186.721,0
193.33,189.65,0
195.53,193.436,0
198.934,196.258,0
202.473,197.395,0
203.473,197.395,0
204.505,197.934,0
205.505,197.934,0
208.344,203.505,0
211.489,207.344,0
212.489,207.344,0
213.59,208.594,0
214.59,208.594,0
217.769,210.489,0
218.769,210.489,0
220.921,215.574,0
221.921,215.574,0
223.187,216.169,0
224.946,216.769,0
228.996,225.934,0
229.996,225.934,0
232.049,227.277,0
233.28,227.996,0
234.28,227.996,0
235.28,227.996,0
236.525,230.65,0
239.444,232.28,0
240.444,232.28,0
241.444,232.28,0
244.142,237.782,0
245.142,237.782,0
246.142,237.782,0
248.036,242.352,0
250.506,246.191,0
251.506,246.191,0
254.067,248.681,0
257.167,253.067,0
258.213,254.915,0
260.224,258.399,0
261.438,258.738,0
262.935,259.046,0
265.194,260.438,0
267.782,265.604,0
269.055,265.84,0
270.648,265.994,0
271.648,265.994,0
275.162,269.648,0
276.162,269.648,0
277.713,272.013,0
280.001,273.867,0
283.193,279.001,0
284.193,279.001,0
285.193,279.001,0
286.193,279.001,0
287.193,279.001,0
288.193,279.001,0
289.265,280.211,0
290.513,281.022,0
291.513,281.022,0
293.06,281.332,0
294.06,281.332,0
296.47,289.513,0
300.282,297.31,0
303.069,300.87,0
304.165,301.019,0
305.165,301.019,0
307.025,301.133,0
308.361,301.326,0
309.361,301.326,0
311.208,303.165,0
313.054,306.025,0
314.424,307.361,0
316.701,310.208,0
318.332,313.424,0
319.332,313.424,0
320.851,314.943,0
323.125,317.332,0
324.125,317.332,0
325.358,319.851,0
326.358,319.851,0
328.277,324.358,0
330.704,327.277,0
331.704,327.277,0
332.704,327.277,0
333.704,327.277,0
337.278,335.617,0
338.278,335.617,0
340.763,336.007,0
341.763,336.007,0
343.621,336.157,0
348.486,345.901,0
349.486,345.901,0
351.347,347.434,0
352.347,347.434,0
353.347,347.434,0
355.073,347.486,0
356.738,350.026,0
358.457,350.347,0
359.457,350.347,0
360.77,354.073,0
362.533,355.722,0
363.822,357.457,0
364.822,357.457,0
365.822,357.457,0
366.822,357.457,0
367.822,357.457,0
368.897,359.77,0
369.941,361.533,0
370.941,361.533,0
371.941,361.533,0
372.941,361.533,0
374.096,362.657,0
377.328,373.096,0
378.392,374.696,0
382.245,379.138,0
383.762,379.887,0
385.137,380.71,0
386.137,380.71,0
387.314,381.245,0
388.626,382.311,0
389.879,382.762,0
390.879,382.762,0
392.193,384.137,0
393.586,388.879,0
394.848,391.193,0
397.144,392.586,0
398.806,393.848,0
401.408,395.718,0
402.533,396.144,0
405.296,400.408,0
410.243,407.43,0
411.395,407.818,0
412.524,408.401,0
414.318,409.243,0
415.318,409.243,0
416.318,409.243,0
418.072,410.395,0
421.16,417.072,0
423.111,418.948,0
424.656,419.842,0
428.573,425.711,0
430.184,426.236,0
431.184,426.236,0
433.472,429.184,0
440.323,437.302,0
441.717,437.826,0
442.717,437.826,0
444.014,438.389,0
445.014,438.389,0
446.014,438.389,0
448.581,446.6,0
449.897,446.678,0
451.103,446.965,0
452.635,446.976,0
456.696,453.664,0
458.09,454.373,0
459.12,454.531,0
461.239,455.696,0
462.239,455.696,0
464.143,458.12,0
465.143,458.12,0
466.143,458.12,0
469.425,462.447,0
474.328,470.715,0
475.328,470.715,0
476.328,470.715,0
477.876,472.458,0
478.876,472.458,0
480.421,476.56,0
481.421,476.56,0
483.327,479.19,0
484.833,481.949,0
485.833,481.949,0
486.833,481.949,0
488.342,483.688,0
489.342,483.688,0
490.342,483.688,0
492.158,483.797,0
493.673,483.833,0
