FinishTime,ArrivalTime,ServiceTime,ID
3.155538971365757e+00,2.155538971365757e+00,1.000000000000000e+00,0
4.164578119607347e+00,3.002293311433795e+00,1.000000000000000e+00,1
6.740879892823459e+00,5.317181666039572e+00,1.000000000000000e+00,5
8.740879892823459e+00,6.801609447231036e+00,1.000000000000000e+00,7
1.274087989282346e+01,1.118768707002641e+01,1.000000000000000e+00,11
1.474087989282346e+01,1.238058222128704e+01,1.000000000000000e+00,13
1.777878445093570e+01,3.173617267848937e+00,3.000000000000000e+00,3
1.970477803042771e+01,1.598636536255815e+01,1.000000000000000e+00,14
2.393017212788651e+01,1.916777482017372e+01,2.000000000000000e+00,17
2.493017212788651e+01,2.004286917661591e+01,3.000000000000000e+00,20
